Mesiac	Rok	Typ	Predajca	Hodnota	Kusov	Oblast
Jan	1992	Alkohol	Nosal	2070	2754	BA
Jan	1992	Alkohol	Hlavina	2188	2320	ST
Jan	1992	Sladke	Novak	1703	1980	ZA
Jan	1992	Sladke	Nosal	1193	1616	ST
Feb	1992	Mineralky	Dolnik	1416	2035	ST
Feb	1992	Mineralky	Hlavina	2504	1250	VY
Feb	1992	Mineralky	Smrek	1529	1780	BA
Feb	1992	Mineralky	Smrek	1391	2268	ST
Feb	1992	Mineralky	Nosal	2881	2667	BA
Feb	1992	Chlieb	Dolnik	2098	1482	ZA
Feb	1992	Maso	Hlavina	2617	1657	ST
Feb	1992	Maso	Smrek	1592	2693	ZA
Feb	1992	Maso	Smrek	2814	2990	ST
Mar	1992	Sladke	Smrek	1992	2253	BA
Mar	1992	Sladke	Smrek	1150	2693	ZA
Mar	1992	Mineralky	Nosal	1083	2872	ST
Mar	1992	Mineralky	Smrek	1589	1013	VY
Mar	1992	Mineralky	Hlavina	2763	2202	BA
Mar	1992	Mineralky	Hlavina	1434	2924	ST
Mar	1992	Mineralky	Nosal	1182	2725	VY
Mar	1992	Chlieb	Dolnik	2028	1028	BA
Mar	1992	Chlieb	Smrek	1277	1695	ZA
Mar	1992	Maso	Dolnik	1599	1726	BA
Apr	1992	Maso	Hlavina	2073	1313	ZA
Apr	1992	Maso	Novak	2916	1336	ST
Apr	1992	Ovocie	Nosal	1169	2612	ZA
Apr	1992	Ovocie	Smrek	2575	2944	ST
Apr	1992	Ovocie	Dolnik	1149	1683	BA
Apr	1992	Ovocie	Dolnik	2412	2755	ZA
Apr	1992	Ovocie	Dolnik	2290	2389	ST
Apr	1992	Mlieko	Smrek	1735	1929	BA
Apr	1992	Mlieko	Dolnik	2126	1324	ZA
May	1992	Mlieko	Novak	1217	1957	ST
May	1992	Maso	Smrek	2534	2422	ST
May	1992	Maso	Nosal	1973	1403	BA
May	1992	Maso	Hlavina	1939	1241	ZA
May	1992	Alkohol	Dolnik	1287	1682	ST
May	1992	Alkohol	Novak	1510	2592	BA
May	1992	Sladke	Nosal	2008	1041	BA
May	1992	Sladke	Dolnik	2610	2195	ST
May	1992	Mlieko	Smrek	1695	1545	BA
Jun	1992	Mlieko	Nosal	1968	2526	ZA
Jun	1992	Mlieko	Dolnik	1283	2306	BA
Jun	1992	Chlieb	Novak	1107	1313	BA
Jun	1992	Sladke	Hlavina	1181	1842	VY
Jun	1992	Sladke	Smrek	1908	2240	ST
Jun	1992	Alkohol	Novak	1218	1093	BA
Jun	1992	Alkohol	Novak	2234	1926	ZA
Jun	1992	Chlieb	Nosal	2042	2999	ST
Jun	1992	Chlieb	Dolnik	1974	2865	BA
Jul	1992	Chlieb	Hlavina	2012	2393	ZA
Jul	1992	Mlieko	Smrek	2731	2264	ST
Jul	1992	Mlieko	Nosal	2636	2103	VY
Jul	1992	Mlieko	Novak	1422	2605	BA
Jul	1992	Mineralky	Dolnik	2412	2204	ST
Jul	1992	Mineralky	Hlavina	1160	2834	ZA
Jul	1992	Mineralky	Smrek	1249	2620	VY
Jul	1992	Mineralky	Nosal	1239	2828	BA
Jul	1992	Mineralky	Novak	1940	1542	VY
Jul	1992	Maso	Novak	2246	2918	ST
Aug	1992	Chlieb	Hlavina	2783	1094	ZA
Aug	1992	Chlieb	Smrek	1008	1034	BA
Aug	1992	Mlieko	Novak	2600	1804	VY
Aug	1992	Mlieko	Novak	1379	2547	ST
Aug	1992	Mlieko	Nosal	1228	1527	BA
Aug	1992	Chlieb	Dolnik	2786	1662	ST
Aug	1992	Chlieb	Novak	1713	1292	ZA
Aug	1992	Sladke	Nosal	2666	2252	VY
Aug	1992	Sladke	Hlavina	1806	1386	BA
Aug	1992	Mlieko	Dolnik	2079	1201	ST
Sep	1992	Mlieko	Smrek	2903	1427	ZA
Sep	1992	Mlieko	Novak	2685	1819	BA
Sep	1992	Chlieb	Dolnik	1332	2743	VY
Sep	1992	Ovocie	Smrek	1888	2306	ZA
Sep	1992	Ovocie	Dolnik	2643	2930	ST
Sep	1992	Ovocie	Dolnik	1130	2436	VY
Sep	1992	Ovocie	Novak	1585	2250	BA
Sep	1992	Ovocie	Novak	2254	1621	VY
Sep	1992	Maso	Hlavina	2935	2019	BA
Oct	1992	Maso	Dolnik	1515	1494	ZA
Oct	1992	Maso	Smrek	1370	2582	BA
Oct	1992	Mineralky	Novak	1877	2808	BA
Oct	1992	Mineralky	Novak	2381	2233	VY
Oct	1992	Mineralky	Hlavina	1139	2213	ST
Oct	1992	Mineralky	Dolnik	1696	1602	VY
Oct	1992	Mineralky	Dolnik	1141	1505	BA
Oct	1992	Sladke	Hlavina	1361	2278	ZA
Oct	1992	Sladke	Smrek	2447	1430	BA
Nov	1992	Maso	Novak	2707	1205	ZA
Nov	1992	Maso	Dolnik	2006	2958	VY
Nov	1992	Maso	Smrek	1321	2122	ST
Nov	1992	Mlieko	Smrek	2234	1532	ZA
Nov	1992	Mlieko	Smrek	1244	2544	ZA
Nov	1992	Mlieko	Dolnik	1965	2564	BA
Nov	1992	Ovocie	Novak	2820	1443	ST
Nov	1992	Ovocie	Nosal	2224	1785	ZA
Nov	1992	Ovocie	Hlavina	2112	1383	VY
Nov	1992	Ovocie	Dolnik	1583	2374	BA
Dec	1992	Ovocie	Smrek	1600	1173	ZA
Dec	1992	Alkohol	Novak	2730	1859	VY
Dec	1992	Alkohol	Hlavina	1594	2907	ST
Dec	1992	Maso	Smrek	1485	1959	ZA
Dec	1992	Maso	Novak	2360	1733	BA
Dec	1992	Maso	Dolnik	2209	1624	ST
Dec	1992	Mlieko	Smrek	2676	1792	ZA
Dec	1992	Mlieko	Dolnik	2953	2000	VY
Dec	1992	Mlieko	Novak	1708	2995	BA
