Rok;Mesiac;Typ;Predajca;Hodnota;Kusov;Oblast
1991;Nov;Ovocie;Dolnik;2044;2277;ST
1991;Nov;Ovocie;Smrek;2753;1589;BA
1991;Nov;Ovocie;Hlavina;1038;2939;BA
1991;Nov;Ovocie;Smrek;1123;1654;ZA
1991;Nov;Ovocie;Nosal;1920;1616;ST
1991;Nov;Mlieko;Hlavina;1042;2009;BA
1991;Nov;Mlieko;Novak;2862;1507;ST
1991;Nov;Mlieko;Nosal;2926;1256;BA
1991;Dec;Chlieb;Smrek;1975;1731;ST
1991;Dec;Chlieb;Dolnik;1439;1658;ST
1991;Dec;Maso;Dolnik;2702;2054;VY
1991;Dec;Maso;Hlavina;2052;2052;VY
1991;Dec;Maso;Novak;2193;2900;ST
1991;Dec;Alkohol;Smrek;2050;2331;ST
1991;Dec;Alkohol;Smrek;1395;2253;BA
1991;Dec;Chlieb;Dolnik;2107;1241;BA
1991;Dec;Chlieb;Dolnik;2254;1399;VY
1992;Jan;Chlieb;Novak;1802;2007;ST
1992;Jan;Maso;Nosal;2378;1938;BA
1992;Jan;Chlieb;Smrek;1476;1379;ZA
1992;Jan;Maso;Smrek;2441;2769;ST
1992;Jan;Alkohol;Nosal;2070;2754;BA
1992;Jan;Alkohol;Hlavina;2188;2320;ST
1992;Jan;Sladke;Novak;1703;1980;ZA
1992;Jan;Sladke;Nosal;1193;1616;ST
1992;Feb;Mineralky;Dolnik;1416;2035;ST
1992;Feb;Mineralky;Hlavina;2504;1250;VY
1992;Feb;Mineralky;Smrek;1529;1780;BA
1992;Feb;Mineralky;Smrek;1391;2268;ST
1992;Feb;Mineralky;Nosal;2881;2667;BA
1992;Feb;Chlieb;Dolnik;2098;1482;ZA
1992;Feb;Maso;Hlavina;2617;1657;ST
1992;Feb;Maso;Smrek;1592;2693;ZA
1992;Feb;Maso;Smrek;2814;2990;ST
1992;Mar;Sladke;Smrek;1992;2253;BA
1992;Mar;Sladke;Smrek;1150;2693;ZA
1992;Mar;Mineralky;Nosal;1083;2872;ST
1992;Mar;Mineralky;Smrek;1589;1013;VY
1992;Mar;Mineralky;Hlavina;2763;2202;BA
1992;Mar;Mineralky;Hlavina;1434;2924;ST
1992;Mar;Mineralky;Nosal;1182;2725;VY
1992;Mar;Chlieb;Dolnik;2028;1028;BA
1992;Mar;Chlieb;Smrek;1277;1695;ZA
1992;Mar;Maso;Dolnik;1599;1726;BA
1992;Apr;Maso;Hlavina;2073;1313;ZA
1992;Apr;Maso;Novak;2916;1336;ST
1992;Apr;Ovocie;Nosal;1169;2612;ZA
1992;Apr;Ovocie;Smrek;2575;2944;ST
1992;Apr;Ovocie;Dolnik;1149;1683;BA
1992;Apr;Ovocie;Dolnik;2412;2755;ZA
1992;Apr;Ovocie;Dolnik;2290;2389;ST
1992;Apr;Mlieko;Smrek;1735;1929;BA
1992;Apr;Mlieko;Dolnik;2126;1324;ZA
1992;May;Mlieko;Novak;1217;1957;ST
1992;May;Maso;Smrek;2534;2422;ST
1992;May;Maso;Nosal;1973;1403;BA
1992;May;Maso;Hlavina;1939;1241;ZA
1992;May;Alkohol;Dolnik;1287;1682;ST
1992;May;Alkohol;Novak;1510;2592;BA
1992;May;Sladke;Nosal;2008;1041;BA
1992;May;Sladke;Dolnik;2610;2195;ST
1992;May;Mlieko;Smrek;1695;1545;BA
1992;Jun;Mlieko;Nosal;1968;2526;ZA
1992;Jun;Mlieko;Dolnik;1283;2306;BA
1992;Jun;Chlieb;Novak;1107;1313;BA
1992;Jun;Sladke;Hlavina;1181;1842;VY
1992;Jun;Sladke;Smrek;1908;2240;ST
1992;Jun;Alkohol;Novak;1218;1093;BA
1992;Jun;Alkohol;Novak;2234;1926;ZA
1992;Jun;Chlieb;Nosal;2042;2999;ST
1992;Jun;Chlieb;Dolnik;1974;2865;BA
1992;Jul;Chlieb;Hlavina;2012;2393;ZA
1992;Jul;Mlieko;Smrek;2731;2264;ST
1992;Jul;Mlieko;Nosal;2636;2103;VY
1992;Jul;Mlieko;Novak;1422;2605;BA
1992;Jul;Mineralky;Dolnik;2412;2204;ST
1992;Jul;Mineralky;Hlavina;1160;2834;ZA
1992;Jul;Mineralky;Smrek;1249;2620;VY
1992;Jul;Mineralky;Nosal;1239;2828;BA
1992;Jul;Mineralky;Novak;1940;1542;VY
1992;Jul;Maso;Novak;2246;2918;ST
1992;Aug;Chlieb;Hlavina;2783;1094;ZA
1992;Aug;Chlieb;Smrek;1008;1034;BA
1992;Aug;Mlieko;Novak;2600;1804;VY
1992;Aug;Mlieko;Novak;1379;2547;ST
1992;Aug;Mlieko;Nosal;1228;1527;BA
1992;Aug;Chlieb;Dolnik;2786;1662;ST
1992;Aug;Chlieb;Novak;1713;1292;ZA
1992;Aug;Sladke;Nosal;2666;2252;VY
1992;Aug;Sladke;Hlavina;1806;1386;BA
1992;Aug;Mlieko;Dolnik;2079;1201;ST
1992;Sep;Mlieko;Smrek;2903;1427;ZA
1992;Sep;Mlieko;Novak;2685;1819;BA
1992;Sep;Chlieb;Dolnik;1332;2743;VY
1992;Sep;Ovocie;Smrek;1888;2306;ZA
1992;Sep;Ovocie;Dolnik;2643;2930;ST
1992;Sep;Ovocie;Dolnik;1130;2436;VY
1992;Sep;Ovocie;Novak;1585;2250;BA
1992;Sep;Ovocie;Novak;2254;1621;VY
1992;Sep;Maso;Hlavina;2935;2019;BA
1992;Oct;Maso;Dolnik;1515;1494;ZA
1992;Oct;Maso;Smrek;1370;2582;BA
1992;Oct;Mineralky;Novak;1877;2808;BA
1992;Oct;Mineralky;Novak;2381;2233;VY
1992;Oct;Mineralky;Hlavina;1139;2213;ST
1992;Oct;Mineralky;Dolnik;1696;1602;VY
1992;Oct;Mineralky;Dolnik;1141;1505;BA
1992;Oct;Sladke;Hlavina;1361;2278;ZA
1992;Oct;Sladke;Smrek;2447;1430;BA
1992;Nov;Maso;Novak;2707;1205;ZA
1992;Nov;Maso;Dolnik;2006;2958;VY
1992;Nov;Maso;Smrek;1321;2122;ST
1992;Nov;Mlieko;Smrek;2234;1532;ZA
1992;Nov;Mlieko;Smrek;1244;2544;ZA
1992;Nov;Mlieko;Dolnik;1965;2564;BA
1992;Nov;Ovocie;Novak;2820;1443;ST
1992;Nov;Ovocie;Nosal;2224;1785;ZA
1992;Nov;Ovocie;Hlavina;2112;1383;VY
1992;Nov;Ovocie;Dolnik;1583;2374;BA
1992;Dec;Ovocie;Smrek;1600;1173;ZA
1992;Dec;Alkohol;Novak;2730;1859;VY
1992;Dec;Alkohol;Hlavina;1594;2907;ST
1992;Dec;Maso;Smrek;1485;1959;ZA
1992;Dec;Maso;Novak;2360;1733;BA
1992;Dec;Maso;Dolnik;2209;1624;ST
1992;Dec;Mlieko;Smrek;2676;1792;ZA
1992;Dec;Mlieko;Dolnik;2953;2000;VY
1992;Dec;Mlieko;Novak;1708;2995;BA
